No,Date,Type_of_Victim,Number_of_Victims
599,1993,Injured,4
600,1993,Injured,8
601,1993,Injured,3
602,1993,Injured,6
603,1993,Injured,2
604,1993,Injured,5
605,1992,Injured,4
606,1992,Injured,0
607,1992,Injured,6
608,1992,Injured,10
609,1991,Injured,5
610,1991,Injured,1
611,1991,Injured,20
612,1991,Injured,0
613,1991,Injured,0
614,1990,Injured,6
615,1989,Injured,12
616,1989,Injured,1
617,1989,Injured,30
618,1988,Injured,4
619,1988,Injured,9
620,1988,Injured,2
621,1988,Injured,7
622,1988,Injured,4
623,1988,Injured,2
624,1987,Injured,14
625,1986,Injured,3
626,1986,Injured,6
627,1986,Injured,4
628,1985,Injured,1
629,1985,Injured,3
630,1984,Injured,19
631,1984,Injured,1
632,1984,Injured,12
633,1983,Injured,3
634,1983,Injured,1
635,1982,Injured,3
636,1982,Injured,2
637,1979,Injured,5
638,1979,Injured,9
639,1976,Injured,2
640,1976,Injured,7
641,1974,Injured,7
642,1974,Injured,3
643,1972,Injured,13
644,1971,Injured,4
645,1966,Injured,1
646,1966,Injured,32
